COURSE,DEPARTMENT,COURSE ID,CLASS NBR,TOTAL ENROLLMENT,GSAS,HCOL,NONDGR,VUS,XREG
CHEMBIO  350,CHBI,124362,12927,49,49,,,,
CHEMBIO  300HFB,CHBI,160580,16160,15,15,,,,
CHEMBIO  399,CHBI,121170,13384,14,14,,,,
CHEMBIO 2200,CHBI,124812,16771,13,13,,,,
CHEM   27,CHEM,117558,15122,262,,258,,,3
PHYSCI    1,CHEM,122574,14630,257,,257,,,
PHYSCI   11,CHEM,107368,15466,130,,129,,,
CHEM   40,CHEM,123126,15578,53,,53,,,
CHEM   20,CHEM,124312,15118,52,,51,,,1
CHEM  110,CHEM,110241,10857,37,11,25,,,1
CHEM  301HFB,CHEM,160578,16154,27,27,,,,
CHEM  165,CHEM,119035,15129,18,,18,,,
CHEM  396,CHEM,119230,12621,15,15,,,,
CHEM  135,CHEM,112954,15125,14,,14,,,
CHEM  340,CHEM,123995,13324,14,14,,,,
CHEM  302,CHEM,110717,10416,13,13,,,,
CHEM  336,CHEM,115459,12450,13,13,,,,
CHEM  100R,CHEM,123022,15123,12,,12,,,
CHEM  342,CHEM,109111,11727,12,12,,,,
CHEM  161,CHEM,113217,15126,11,,10,1,,
CHEM  255,CHEM,107709,14497,11,6,5,,,
CHEM  323,CHEM,111689,11695,10,10,,,,
CHEM  320,CHEM,107703,10275,9,9,,,,
CHEM  386,CHEM,122695,12838,9,9,,,,
CHEM  311,CHEM,111823,11967,7,7,,,,
CHEM  390,CHEM,112638,11979,7,7,,,,
CHEM   99R,CHEM,113976,14138,6,,6,,,
CHEM  300,CHEM,118124,12046,6,6,,,,
CHEM  388,CHEM,111158,10135,6,6,,,,
CHEM   98R,CHEM,112494,11898,5,,5,,,
CHEM  315,CHEM,117520,12045,5,5,,,,
CHEM  393,CHEM,116230,12296,5,5,,,,
CHEM  325,CHEM,123927,13231,4,4,,,,
CHEM  387,CHEM,114102,11969,4,4,,,,
CHEM  389,CHEM,110520,11329,4,4,,,,
CHEM  304,CHEM,116447,12539,3,3,,,,
CHEM  326,CHEM,110219,10840,2,2,,,,
CHEM  330,CHEM,123994,13322,2,2,,,,
CHEM  350,CHEM,123316,12732,2,2,,,,
CHEM  391,CHEM,112639,10093,2,2,,,,
CHEM  331,CHEM,110712,10368,1,1,,,,
CHEM  397,CHEM,120076,13264,1,1,,,,
CPB   91,CHPB,122591,14770,6,,6,,,
CPB   99B,CHPB,159732,14771,4,,4,,,
CLS-STDY  152,CLAS,156310,11366,22,1,21,,,
CLS-STDY   97B,CLAS,124050,13390,18,,17,,,1
LATIN  106B,CLAS,120309,14907,18,,18,,,
LATIN     AB,CLAS,111253,15340,13,,13,,,
LATIN     AB,CLAS,111253,15796,13,3,10,,,
LATIN     BB,CLAS,111697,11751,13,1,12,,,
CLASARCH  101,CLAS,108693,14664,10,1,8,,,1
CLS-STDY  112,CLAS,156313,11369,9,,9,,,
LATIN     K,CLAS,114908,14662,9,4,4,,,1
MODGRK     AB,CLAS,159841,14909,9,1,7,,,1
CLASPHIL  275,CLAS,127935,14917,8,8,,,,
CLASSIC   99B,CLAS,159882,15032,8,,8,,,
CLS-STDY  110,CLAS,128074,14910,8,,8,,,
GREEK  201,CLAS,111148,14911,7,6,,1,,
LATIN  132,CLAS,126342,14914,7,3,4,,,
GREEK     AB,CLAS,114018,14190,6,1,5,,,
GREEK     BB,CLAS,112918,11628,5,,5,,,
GREEK     H,CLAS,118190,14849,5,5,,,,
GREEK  115,CLAS,112212,14913,5,3,2,,,
MODGRK  100,CLAS,123852,15695,5,3,1,,,1
CLASSIC   98,CLAS,126109,13741,4,,4,,,
CLS-STDY  151,CLAS,160557,16022,4,,4,,,
LATIN     BBM,CLAS,121187,13397,4,,4,,,
LATIN  117,CLAS,110614,16023,4,2,2,,,
MEDGREEK  115,CLAS,121896,13209,4,2,,1,,1
CLASPHIL  215,CLAS,159845,14916,3,2,,,,1
CLASSIC  300,CLAS,114000,16397,3,3,,,,
CLASSIC  302,CLAS,111873,16737,3,3,,,,
LATIN     AB,CLAS,111253,16807,3,,2,,,1
MEDLATIN  207,CLAS,160457,16267,3,2,,,,1
MODGRK     BB,CLAS,159843,15185,3,,1,2,,
CLASSIC  300,CLAS,114000,16391,2,2,,,,
CLASSIC  300,CLAS,114000,16393,2,2,,,,
CLASSIC  300,CLAS,114000,16398,2,2,,,,
CLASSIC  301,CLAS,113024,10263,2,2,,,,
CLASSIC  302,CLAS,111873,16745,2,2,,,,
GREEK  102,CLAS,112471,16021,2,2,,,,
LATIN  112B,CLAS,121749,15338,2,,2,,,
CLASSIC  300,CLAS,114000,14162,1,1,,,,
CLASSIC  300,CLAS,114000,16395,1,1,,,,
CLASSIC  300,CLAS,114000,16396,1,1,,,,
CLASSIC  300,CLAS,114000,16399,1,1,,,,
CLASSIC  300,CLAS,114000,16701,1,1,,,,
CLASSIC  301,CLAS,113024,16711,1,1,,,,
CLASSIC  301,CLAS,113024,16715,1,1,,,,
CLASSIC  302,CLAS,111873,10130,1,1,,,,
CLASSIC  302,CLAS,111873,16733,1,1,,,,
CLASSIC  302,CLAS,111873,16735,1,1,,,,
CLASSIC  302,CLAS,111873,16739,1,1,,,,
CLASSIC  302,CLAS,111873,16744,1,1,,,,
CLASSIC  302,CLAS,111873,16750,1,1,,,,
CLASSIC  302,CLAS,111873,16761,1,1,,,,
APCOMP  297R,COMPSE,156202,11298,18,17,,1,,
APCOMP  302,COMPSE,156535,11516,6,6,,,,
APCOMP  299R,COMPSE,109613,10487,3,3,,,,
COMPLIT  170,CPLT,156481,15766,19,1,15,,,3
COMPLIT  109,CPLT,117413,16657,14,2,10,,1,1
COMPLIT   97,CPLT,114038,14242,12,,12,,,
COMPLIT  120,CPLT,139362,16774,10,1,9,,,
COMPLIT   98B,CPLT,110809,16777,8,,8,,,
COMPLIT   99B,CPLT,110623,16778,8,,8,,,
COMPLIT  110,CPLT,132590,16775,8,,6,,,2
COMPLIT  177,CPLT,160327,16490,8,3,4,,,1
COMPLIT  243BB,CPLT,160583,16322,8,8,,,,
COMPLIT  243AB,CPLT,160536,15786,7,7,,,,
COMPLIT  287R,CPLT,122889,16980,6,4,2,,,
COMPLIT  243CB,CPLT,160671,16323,5,5,,,,
COMPLIT  255,CPLT,109673,17008,5,3,2,,,
COMPLIT  283,CPLT,108760,17009,4,3,1,,,
COMPLIT  258,CPLT,160526,15772,2,1,1,,,
COMPLIT  397,CPLT,112761,17711,2,2,,,,
COMPLIT  396,CPLT,114019,17696,1,1,,,,
COMPLIT  397,CPLT,112761,17715,1,1,,,,
COMPLIT  397,CPLT,112761,17719,1,1,,,,
COMPLIT  397,CPLT,112761,17724,1,1,,,,
